Date,Winner,Winner_Pts,Loser,Loser_Pts,Year
"Sep 3, 2015",Arizona,42.0,Texas-San Antonio,32.0,2015
"Sep 3, 2015",Ball State,48.0,Virginia Military Institute,36.0,2015
"Sep 3, 2015",Connecticut,20.0,Villanova,15.0,2015
"Sep 3, 2015",Duke,37.0,Tulane,7.0,2015
"Sep 3, 2015",Florida International,15.0,Central Florida,14.0,2015
"Sep 3, 2015",Fresno State,34.0,Abilene Christian,13.0,2015
"Sep 3, 2015",Georgia Tech,69.0,Alcorn State,6.0,2015
"Sep 3, 2015",Hawaii,28.0,Colorado,20.0,2015
"Sep 3, 2015",Nevada,31.0,California-Davis,17.0,2015
"Sep 3, 2015",Ohio,45.0,Idaho,28.0,2015
"Sep 3, 2015",Oklahoma State,24.0,Central Michigan,13.0,2015
"Sep 3, 2015",San Jose State,43.0,New Hampshire,13.0,2015
"Sep 3, 2015",South Carolina,17.0,North Carolina,13.0,2015
"Sep 3, 2015",Texas Christian,23.0,Minnesota,17.0,2015
"Sep 3, 2015",Utah,24.0,Michigan,17.0,2015
"Sep 3, 2015",Utah State,12.0,Southern Utah,9.0,2015
"Sep 3, 2015",Wake Forest,41.0,Elon,3.0,2015
"Sep 3, 2015",Western Kentucky,14.0,Vanderbilt,12.0,2015
"Sep 4, 2015",Baylor,56.0,Southern Methodist,21.0,2015
"Sep 4, 2015",Boise State,16.0,Washington,13.0,2015
"Sep 4, 2015",Charlotte,23.0,Georgia State,20.0,2015
"Sep 4, 2015",Fordham,37.0,Army,35.0,2015
"Sep 4, 2015",Michigan State,37.0,Western Michigan,24.0,2015
"Sep 4, 2015",Oregon State,26.0,Weber State,7.0,2015
"Sep 4, 2015",Syracuse,47.0,Rhode Island,0.0,2015
"Sep 5, 2015",Air Force,63.0,Morgan State,7.0,2015
"Sep 5, 2015",Alabama,35.0,Wisconsin,17.0,2015
"Sep 5, 2015",Appalachian State,49.0,Howard,0.0,2015
"Sep 5, 2015",Arkansas,48.0,Texas-El Paso,13.0,2015
"Sep 5, 2015",Auburn,31.0,Louisville,24.0,2015
"Sep 5, 2015",Boston College,24.0,Maine,3.0,2015
"Sep 5, 2015",Brigham Young,33.0,Nebraska,28.0,2015
"Sep 5, 2015",Buffalo,51.0,Albany,14.0,2015
"Sep 5, 2015",California,73.0,Grambling State,14.0,2015
"Sep 5, 2015",Cincinnati,52.0,Alabama A&M,10.0,2015
"Sep 5, 2015",Clemson,49.0,Wofford,10.0,2015
"Sep 5, 2015",Colorado State,65.0,Savannah State,13.0,2015
"Sep 5, 2015",East Carolina,28.0,Towson,20.0,2015
"Sep 5, 2015",Florida,61.0,New Mexico State,13.0,2015
"Sep 5, 2015",Florida State,59.0,Texas State,16.0,2015
"Sep 5, 2015",Georgia,51.0,Louisiana-Monroe,14.0,2015
"Sep 5, 2015",Houston,52.0,Tennessee Tech,24.0,2015
"Sep 5, 2015",Illinois,52.0,Kent State,3.0,2015
"Sep 5, 2015",Indiana,48.0,Southern Illinois,47.0,2015
"Sep 5, 2015",Iowa,31.0,Illinois State,14.0,2015
"Sep 5, 2015",Iowa State,31.0,Northern Iowa,7.0,2015
"Sep 5, 2015",Kansas State,34.0,South Dakota,0.0,2015
"Sep 5, 2015",Kentucky,40.0,Louisiana,33.0,2015
"Sep 5, 2015",Louisiana Tech,62.0,Southern,15.0,2015
"Sep 5, 2015",Maryland,50.0,Richmond,21.0,2015
"Sep 5, 2015",Memphis,63.0,Missouri State,7.0,2015
"Sep 5, 2015",Miami (FL),45.0,Bethune-Cookman,0.0,2015
"Sep 5, 2015",Miami (OH),26.0,Presbyterian,7.0,2015
"Sep 5, 2015",Middle Tennessee State,70.0,Jackson State,14.0,2015
"Sep 5, 2015",Mississippi,76.0,Tennessee-Martin,3.0,2015
"Sep 5, 2015",Mississippi State,34.0,Southern Mississippi,16.0,2015
"Sep 5, 2015",Missouri,34.0,Southeast Missouri State,3.0,2015
"Sep 5, 2015",Navy,48.0,Colgate,10.0,2015
"Sep 5, 2015",New Mexico,66.0,Mississippi Valley State,0.0,2015
"Sep 5, 2015",North Carolina State,49.0,Troy,21.0,2015
"Sep 5, 2015",North Dakota,24.0,Wyoming,13.0,2015
"Sep 5, 2015",Northern Illinois,38.0,Nevada-Las Vegas,30.0,2015
"Sep 5, 2015",Northwestern,16.0,Stanford,6.0,2015
"Sep 5, 2015",Notre Dame,38.0,Texas,3.0,2015
"Sep 5, 2015",Oklahoma,41.0,Akron,3.0,2015
"Sep 5, 2015",Old Dominion,38.0,Eastern Michigan,34.0,2015
"Sep 5, 2015",Oregon,61.0,Eastern Washington,42.0,2015
"Sep 5, 2015",Pittsburgh,45.0,Youngstown State,37.0,2015
"Sep 5, 2015",Portland State,24.0,Washington State,17.0,2015
"Sep 5, 2015",Rice,56.0,Wagner,16.0,2015
"Sep 5, 2015",Rutgers,63.0,Norfolk State,13.0,2015
"Sep 5, 2015",San Diego State,37.0,San Diego,3.0,2015
"Sep 5, 2015",South Alabama,33.0,Gardner-Webb,23.0,2015
"Sep 5, 2015",South Dakota State,41.0,Kansas,38.0,2015
"Sep 5, 2015",South Florida,51.0,Florida A&M,3.0,2015
"Sep 5, 2015",Southern California,55.0,Arkansas State,6.0,2015
"Sep 5, 2015",Temple,27.0,Penn State,10.0,2015
"Sep 5, 2015",Tennessee,59.0,Bowling Green,30.0,2015
"Sep 5, 2015",Texas A&M,38.0,Arizona State,17.0,2015
"Sep 5, 2015",Texas Tech,59.0,Sam Houston,45.0,2015
"Sep 5, 2015",Tulsa,47.0,Florida Atlantic,44.0,2015
"Sep 5, 2015",UCLA,34.0,Virginia,16.0,2015
"Sep 5, 2015",West Virginia,44.0,Georgia Southern,0.0,2015
"Sep 6, 2015",Marshall,41.0,Purdue,31.0,2015
"Sep 7, 2015",Ohio State,42.0,Virginia Tech,24.0,2015
"Sep 10, 2015",Western Kentucky,41.0,Louisiana Tech,38.0,2015
"Sep 11, 2015",Miami (FL),44.0,Florida Atlantic,20.0,2015
"Sep 11, 2015",Utah,24.0,Utah State,14.0,2015
"Sep 12, 2015",Air Force,37.0,San Jose State,16.0,2015
"Sep 12, 2015",Alabama,37.0,Middle Tennessee State,10.0,2015
"Sep 12, 2015",Arizona,44.0,Nevada,20.0,2015
"Sep 12, 2015",Arizona State,35.0,Cal Poly,21.0,2015
"Sep 12, 2015",Auburn,27.0,Jacksonville State,20.0,2015
"Sep 12, 2015",Baylor,66.0,Lamar,31.0,2015
"Sep 12, 2015",Boston College,76.0,Howard,0.0,2015
"Sep 12, 2015",Bowling Green,48.0,Maryland,27.0,2015
"Sep 12, 2015",Brigham Young,35.0,Boise State,24.0,2015
"Sep 12, 2015",California,35.0,San Diego State,7.0,2015
"Sep 12, 2015",Central Michigan,31.0,Monmouth,10.0,2015
"Sep 12, 2015",Charlotte,34.0,Presbyterian,10.0,2015
"Sep 12, 2015",Clemson,41.0,Appalachian State,10.0,2015
"Sep 12, 2015",Colorado,48.0,Massachusetts,14.0,2015
"Sep 12, 2015",Connecticut,22.0,Army,17.0,2015
"Sep 12, 2015",Duke,55.0,North Carolina Central,0.0,2015
"Sep 12, 2015",Eastern Michigan,48.0,Wyoming,29.0,2015
"Sep 12, 2015",Florida,31.0,East Carolina,24.0,2015
"Sep 12, 2015",Florida State,34.0,South Florida,14.0,2015
"Sep 12, 2015",Georgia,31.0,Vanderbilt,14.0,2015
"Sep 12, 2015",Georgia Southern,43.0,Western Michigan,17.0,2015
"Sep 12, 2015",Georgia State,34.0,New Mexico State,32.0,2015
"Sep 12, 2015",Georgia Tech,65.0,Tulane,10.0,2015
"Sep 12, 2015",Houston,34.0,Louisville,31.0,2015
"Sep 12, 2015",Illinois,44.0,Western Illinois,0.0,2015
"Sep 12, 2015",Indiana,36.0,Florida International,22.0,2015
"Sep 12, 2015",Iowa,31.0,Iowa State,17.0,2015
"Sep 12, 2015",Kansas State,30.0,Texas-San Antonio,3.0,2015
"Sep 12, 2015",Kent State,45.0,Delaware State,13.0,2015
"Sep 12, 2015",Kentucky,26.0,South Carolina,22.0,2015
"Sep 12, 2015",Louisiana,44.0,Northwestern State,17.0,2015
"Sep 12, 2015",Louisiana State,21.0,Mississippi State,19.0,2015
"Sep 12, 2015",Louisiana-Monroe,47.0,Nicholls State,0.0,2015
"Sep 12, 2015",Memphis,55.0,Kansas,23.0,2015
"Sep 12, 2015",Michigan,35.0,Oregon State,7.0,2015
"Sep 12, 2015",Michigan State,31.0,Oregon,28.0,2015
"Sep 12, 2015",Minnesota,23.0,Colorado State,20.0,2015
"Sep 12, 2015",Mississippi,73.0,Fresno State,21.0,2015
"Sep 12, 2015",Missouri,27.0,Arkansas State,20.0,2015
"Sep 12, 2015",Nebraska,48.0,South Alabama,9.0,2015
"Sep 12, 2015",North Carolina,53.0,North Carolina A&T,14.0,2015
"Sep 12, 2015",North Carolina State,35.0,Eastern Kentucky,0.0,2015
"Sep 12, 2015",Northern Illinois,57.0,Murray State,26.0,2015
"Sep 12, 2015",Northwestern,41.0,Eastern Illinois,0.0,2015
"Sep 12, 2015",Notre Dame,34.0,Virginia,27.0,2015
"Sep 12, 2015",Ohio,21.0,Marshall,10.0,2015
"Sep 12, 2015",Ohio State,38.0,Hawaii,0.0,2015
"Sep 12, 2015",Oklahoma,31.0,Tennessee,24.0,2015
"Sep 12, 2015",Oklahoma State,32.0,Central Arkansas,8.0,2015
"Sep 12, 2015",Old Dominion,24.0,Norfolk State,10.0,2015
"Sep 12, 2015",Penn State,27.0,Buffalo,14.0,2015
"Sep 12, 2015",Pittsburgh,24.0,Akron,7.0,2015
"Sep 12, 2015",Purdue,38.0,Indiana State,14.0,2015
"Sep 12, 2015",Southern California,59.0,Idaho,9.0,2015
"Sep 12, 2015",Southern Methodist,31.0,North Texas,13.0,2015
"Sep 12, 2015",Southern Mississippi,52.0,Austin Peay,6.0,2015
"Sep 12, 2015",Stanford,31.0,Central Florida,7.0,2015
"Sep 12, 2015",Syracuse,30.0,Wake Forest,17.0,2015
"Sep 12, 2015",Temple,34.0,Cincinnati,26.0,2015
"Sep 12, 2015",Texas,42.0,Rice,28.0,2015
"Sep 12, 2015",Texas A&M,56.0,Ball State,23.0,2015
"Sep 12, 2015",Texas Christian,70.0,Stephen F. Austin,7.0,2015
"Sep 12, 2015",Texas State,63.0,Prairie View A&M,24.0,2015
"Sep 12, 2015",Texas Tech,69.0,Texas-El Paso,20.0,2015
"Sep 12, 2015",Toledo,16.0,Arkansas,12.0,2015
"Sep 12, 2015",Troy,44.0,Charleston Southern,16.0,2015
"Sep 12, 2015",Tulsa,40.0,New Mexico,21.0,2015
"Sep 12, 2015",UCLA,37.0,Nevada-Las Vegas,3.0,2015
"Sep 12, 2015",Virginia Tech,42.0,Furman,3.0,2015
"Sep 12, 2015",Washington,49.0,Sacramento State,0.0,2015
"Sep 12, 2015",Washington State,37.0,Rutgers,34.0,2015
"Sep 12, 2015",West Virginia,41.0,Liberty,17.0,2015
"Sep 12, 2015",Wisconsin,58.0,Miami (OH),0.0,2015
"Sep 17, 2015",Clemson,20.0,Louisville,17.0,2015
"Sep 18, 2015",Arizona State,34.0,New Mexico,10.0,2015
"Sep 18, 2015",Boise State,52.0,Idaho State,0.0,2015
"Sep 18, 2015",Florida State,14.0,Boston College,0.0,2015
"Sep 19, 2015",Akron,52.0,Savannah State,9.0,2015
"Sep 19, 2015",Arizona,77.0,Northern Arizona,13.0,2015
"Sep 19, 2015",Arkansas State,70.0,Missouri State,7.0,2015
"Sep 19, 2015",Ball State,28.0,Eastern Michigan,17.0,2015
"Sep 19, 2015",Buffalo,33.0,Florida Atlantic,15.0,2015
"Sep 19, 2015",California,45.0,Texas,44.0,2015
"Sep 19, 2015",Cincinnati,37.0,Miami (OH),33.0,2015
"Sep 19, 2015",Colorado,27.0,Colorado State,24.0,2015
"Sep 19, 2015",Florida,14.0,Kentucky,9.0,2015
"Sep 19, 2015",Florida International,39.0,North Carolina Central,14.0,2015
"Sep 19, 2015",Furman,16.0,Central Florida,15.0,2015
"Sep 19, 2015",Georgia,52.0,South Carolina,20.0,2015
"Sep 19, 2015",Georgia Southern,48.0,Citadel,13.0,2015
"Sep 19, 2015",Hawaii,47.0,California-Davis,27.0,2015
"Sep 19, 2015",Idaho,41.0,Wofford,38.0,2015
"Sep 19, 2015",Indiana,38.0,Western Kentucky,35.0,2015
"Sep 19, 2015",Iowa,27.0,Pittsburgh,24.0,2015
"Sep 19, 2015",Kansas State,39.0,Louisiana Tech,33.0,2015
"Sep 19, 2015",Louisiana State,45.0,Auburn,21.0,2015
"Sep 19, 2015",Marshall,45.0,Norfolk State,7.0,2015
"Sep 19, 2015",Maryland,35.0,South Florida,17.0,2015
"Sep 19, 2015",Memphis,44.0,Bowling Green,41.0,2015
"Sep 19, 2015",Miami (FL),36.0,Nebraska,33.0,2015
"Sep 19, 2015",Michigan,28.0,Nevada-Las Vegas,7.0,2015
"Sep 19, 2015",Michigan State,35.0,Air Force,21.0,2015
"Sep 19, 2015",Middle Tennessee State,73.0,Charlotte,14.0,2015
"Sep 19, 2015",Minnesota,10.0,Kent State,7.0,2015
"Sep 19, 2015",Mississippi,43.0,Alabama,37.0,2015
"Sep 19, 2015",Mississippi State,62.0,Northwestern State,13.0,2015
"Sep 19, 2015",Missouri,9.0,Connecticut,6.0,2015
"Sep 19, 2015",Navy,45.0,East Carolina,21.0,2015
"Sep 19, 2015",North Carolina,48.0,Illinois,14.0,2015
"Sep 19, 2015",North Carolina State,38.0,Old Dominion,14.0,2015
"Sep 19, 2015",Northwestern,19.0,Duke,10.0,2015
"Sep 19, 2015",Notre Dame,30.0,Georgia Tech,22.0,2015
"Sep 19, 2015",Ohio,35.0,Southeastern Louisiana,14.0,2015
"Sep 19, 2015",Ohio State,20.0,Northern Illinois,13.0,2015
"Sep 19, 2015",Oklahoma,52.0,Tulsa,38.0,2015
"Sep 19, 2015",Oklahoma State,69.0,Texas-San Antonio,14.0,2015
"Sep 19, 2015",Oregon,61.0,Georgia State,28.0,2015
"Sep 19, 2015",Oregon State,35.0,San Jose State,21.0,2015
"Sep 19, 2015",Penn State,28.0,Rutgers,3.0,2015
"Sep 19, 2015",Rice,38.0,North Texas,24.0,2015
"Sep 19, 2015",South Alabama,34.0,San Diego State,27.0,2015
"Sep 19, 2015",Southern Mississippi,56.0,Texas State,50.0,2015
"Sep 19, 2015",Stanford,41.0,Southern California,31.0,2015
"Sep 19, 2015",Syracuse,30.0,Central Michigan,27.0,2015
"Sep 19, 2015",Temple,25.0,Massachusetts,23.0,2015
"Sep 19, 2015",Tennessee,55.0,Western Carolina,10.0,2015
"Sep 19, 2015",Texas A&M,44.0,Nevada,27.0,2015
"Sep 19, 2015",Texas Christian,56.0,Southern Methodist,37.0,2015
"Sep 19, 2015",Texas Tech,35.0,Arkansas,24.0,2015
"Sep 19, 2015",Texas-El Paso,50.0,New Mexico State,47.0,2015
"Sep 19, 2015",Toledo,30.0,Iowa State,23.0,2015
"Sep 19, 2015",Tulane,38.0,Maine,7.0,2015
"Sep 19, 2015",UCLA,24.0,Brigham Young,23.0,2015
"Sep 19, 2015",Utah,45.0,Fresno State,24.0,2015
"Sep 19, 2015",Vanderbilt,47.0,Austin Peay,7.0,2015
"Sep 19, 2015",Virginia,35.0,William & Mary,29.0,2015
"Sep 19, 2015",Virginia Tech,51.0,Purdue,24.0,2015
"Sep 19, 2015",Wake Forest,17.0,Army,14.0,2015
"Sep 19, 2015",Washington,31.0,Utah State,17.0,2015
"Sep 19, 2015",Washington State,31.0,Wyoming,14.0,2015
"Sep 19, 2015",Western Michigan,52.0,Murray State,20.0,2015
"Sep 19, 2015",Wisconsin,28.0,Troy,3.0,2015
"Sep 24, 2015",Memphis,53.0,Cincinnati,46.0,2015
"Sep 25, 2015",Boise State,56.0,Virginia,14.0,2015
"Sep 25, 2015",Stanford,42.0,Oregon State,24.0,2015
"Sep 26, 2015",Akron,35.0,Louisiana,14.0,2015
"Sep 26, 2015",Alabama,34.0,Louisiana-Monroe,0.0,2015
"Sep 26, 2015",Appalachian State,49.0,Old Dominion,0.0,2015
"Sep 26, 2015",Army,58.0,Eastern Michigan,36.0,2015
"Sep 26, 2015",Baylor,70.0,Rice,17.0,2015
"Sep 26, 2015",Boston College,17.0,Northern Illinois,14.0,2015
"Sep 26, 2015",Bowling Green,35.0,Purdue,28.0,2015
"Sep 26, 2015",California,30.0,Washington,24.0,2015
"Sep 26, 2015",Colorado,48.0,Nicholls State,0.0,2015
"Sep 26, 2015",Colorado State,33.0,Texas-San Antonio,31.0,2015
"Sep 26, 2015",Duke,34.0,Georgia Tech,20.0,2015
"Sep 26, 2015",East Carolina,35.0,Virginia Tech,28.0,2015
"Sep 26, 2015",Florida,28.0,Tennessee,27.0,2015
"Sep 26, 2015",Florida Atlantic,17.0,Charlotte,7.0,2015
"Sep 26, 2015",Georgia,48.0,Southern,6.0,2015
"Sep 26, 2015",Georgia Southern,44.0,Idaho,20.0,2015
"Sep 26, 2015",Houston,59.0,Texas State,14.0,2015
"Sep 26, 2015",Illinois,27.0,Middle Tennessee State,25.0,2015
"Sep 26, 2015",Indiana,31.0,Wake Forest,24.0,2015
"Sep 26, 2015",Iowa,62.0,North Texas,16.0,2015
"Sep 26, 2015",James Madison,48.0,Southern Methodist,45.0,2015
"Sep 26, 2015",Kentucky,21.0,Missouri,13.0,2015
"Sep 26, 2015",Louisiana State,34.0,Syracuse,24.0,2015
"Sep 26, 2015",Louisiana Tech,27.0,Florida International,17.0,2015
"Sep 26, 2015",Louisville,45.0,Samford,3.0,2015
"Sep 26, 2015",Marshall,36.0,Kent State,29.0,2015
"Sep 26, 2015",Michigan,31.0,Brigham Young,0.0,2015
"Sep 26, 2015",Michigan State,30.0,Central Michigan,10.0,2015
"Sep 26, 2015",Minnesota,27.0,Ohio,24.0,2015
"Sep 26, 2015",Mississippi,27.0,Vanderbilt,16.0,2015
"Sep 26, 2015",Mississippi State,17.0,Auburn,9.0,2015
"Sep 26, 2015",Navy,28.0,Connecticut,18.0,2015
"Sep 26, 2015",Nebraska,36.0,Southern Mississippi,28.0,2015
"Sep 26, 2015",Nevada,24.0,Buffalo,21.0,2015
"Sep 26, 2015",Nevada-Las Vegas,80.0,Idaho State,8.0,2015
"Sep 26, 2015",New Mexico,38.0,Wyoming,28.0,2015
"Sep 26, 2015",North Carolina,41.0,Delaware,14.0,2015
"Sep 26, 2015",North Carolina State,63.0,South Alabama,13.0,2015
"Sep 26, 2015",Northwestern,24.0,Ball State,19.0,2015
"Sep 26, 2015",Notre Dame,62.0,Massachusetts,27.0,2015
"Sep 26, 2015",Ohio State,38.0,Western Michigan,12.0,2015
"Sep 26, 2015",Oklahoma State,30.0,Texas,27.0,2015
"Sep 26, 2015",Penn State,37.0,San Diego State,21.0,2015
"Sep 26, 2015",Rutgers,27.0,Kansas,14.0,2015
"Sep 26, 2015",San Jose State,49.0,Fresno State,23.0,2015
"Sep 26, 2015",South Carolina,31.0,Central Florida,14.0,2015
"Sep 26, 2015",Southern California,42.0,Arizona State,14.0,2015
"Sep 26, 2015",Texas A&M,28.0,Arkansas,21.0,2015
"Sep 26, 2015",Texas Christian,55.0,Texas Tech,52.0,2015
"Sep 26, 2015",Texas-El Paso,27.0,Incarnate Word,17.0,2015
"Sep 26, 2015",Toledo,37.0,Arkansas State,7.0,2015
"Sep 26, 2015",UCLA,56.0,Arizona,30.0,2015
"Sep 26, 2015",Utah,62.0,Oregon,20.0,2015
"Sep 26, 2015",West Virginia,45.0,Maryland,6.0,2015
"Sep 26, 2015",Western Kentucky,56.0,Miami (OH),14.0,2015
"Sep 26, 2015",Wisconsin,28.0,Hawaii,0.0,2015
"Oct 1, 2015",Cincinnati,34.0,Miami (FL),23.0,2015
"Oct 2, 2015",Brigham Young,30.0,Connecticut,13.0,2015
"Oct 2, 2015",Memphis,24.0,South Florida,17.0,2015
"Oct 2, 2015",Temple,37.0,Charlotte,3.0,2015
"Oct 3, 2015",Alabama,38.0,Georgia,10.0,2015
"Oct 3, 2015",Appalachian State,31.0,Wyoming,13.0,2015
"Oct 3, 2015",Arizona State,38.0,UCLA,23.0,2015
"Oct 3, 2015",Arkansas,24.0,Tennessee,20.0,2015
"Oct 3, 2015",Arkansas State,49.0,Idaho,35.0,2015
"Oct 3, 2015",Auburn,35.0,San Jose State,21.0,2015
"Oct 3, 2015",Baylor,63.0,Texas Tech,35.0,2015
"Oct 3, 2015",Boise State,55.0,Hawaii,0.0,2015
"Oct 3, 2015",Bowling Green,28.0,Buffalo,22.0,2015
"Oct 3, 2015",California,34.0,Washington State,28.0,2015
"Oct 3, 2015",Central Michigan,29.0,Northern Illinois,19.0,2015
"Oct 3, 2015",Clemson,24.0,Notre Dame,22.0,2015
"Oct 3, 2015",Duke,9.0,Boston College,7.0,2015
"Oct 3, 2015",East Carolina,49.0,Southern Methodist,23.0,2015
"Oct 3, 2015",Florida,38.0,Mississippi,10.0,2015
"Oct 3, 2015",Florida State,24.0,Wake Forest,16.0,2015
"Oct 3, 2015",Georgia Southern,51.0,Louisiana-Monroe,31.0,2015
"Oct 3, 2015",Houston,38.0,Tulsa,24.0,2015
"Oct 3, 2015",Illinois,14.0,Nebraska,13.0,2015
"Oct 3, 2015",Iowa,10.0,Wisconsin,6.0,2015
"Oct 3, 2015",Iowa State,38.0,Kansas,13.0,2015
"Oct 3, 2015",Kent State,20.0,Miami (OH),14.0,2015
"Oct 3, 2015",Kentucky,34.0,Eastern Kentucky,27.0,2015
"Oct 3, 2015",Liberty,41.0,Georgia State,33.0,2015
"Oct 3, 2015",Louisiana State,44.0,Eastern Michigan,22.0,2015
"Oct 3, 2015",Louisiana Tech,43.0,Louisiana,14.0,2015
"Oct 3, 2015",Louisville,20.0,North Carolina State,13.0,2015
"Oct 3, 2015",Marshall,27.0,Old Dominion,7.0,2015
"Oct 3, 2015",Massachusetts,24.0,Florida International,14.0,2015
"Oct 3, 2015",Michigan,28.0,Maryland,0.0,2015
"Oct 3, 2015",Michigan State,24.0,Purdue,21.0,2015
"Oct 3, 2015",Missouri,24.0,South Carolina,10.0,2015
"Oct 3, 2015",Navy,33.0,Air Force,11.0,2015
"Oct 3, 2015",Nevada-Las Vegas,23.0,Nevada,17.0,2015
"Oct 3, 2015",New Mexico,38.0,New Mexico State,29.0,2015
"Oct 3, 2015",North Carolina,38.0,Georgia Tech,31.0,2015
"Oct 3, 2015",Northwestern,27.0,Minnesota,0.0,2015
"Oct 3, 2015",Ohio,14.0,Akron,12.0,2015
"Oct 3, 2015",Ohio State,34.0,Indiana,27.0,2015
"Oct 3, 2015",Oklahoma,44.0,West Virginia,24.0,2015
"Oct 3, 2015",Oklahoma State,36.0,Kansas State,34.0,2015
"Oct 3, 2015",Oregon,41.0,Colorado,24.0,2015
"Oct 3, 2015",Penn State,20.0,Army,14.0,2015
"Oct 3, 2015",Pittsburgh,17.0,Virginia Tech,13.0,2015
"Oct 3, 2015",San Diego State,21.0,Fresno State,7.0,2015
"Oct 3, 2015",South Alabama,24.0,Troy,18.0,2015
"Oct 3, 2015",Southern Mississippi,49.0,North Texas,14.0,2015
"Oct 3, 2015",Stanford,55.0,Arizona,17.0,2015
"Oct 3, 2015",Texas A&M,30.0,Mississippi State,17.0,2015
"Oct 3, 2015",Texas Christian,50.0,Texas,7.0,2015
"Oct 3, 2015",Texas-San Antonio,25.0,Texas-El Paso,6.0,2015
"Oct 3, 2015",Toledo,24.0,Ball State,10.0,2015
"Oct 3, 2015",Tulane,45.0,Central Florida,31.0,2015
"Oct 3, 2015",Utah State,33.0,Colorado State,18.0,2015
"Oct 3, 2015",Vanderbilt,17.0,Middle Tennessee State,13.0,2015
"Oct 3, 2015",Western Kentucky,49.0,Rice,10.0,2015
"Oct 8, 2015",Houston,49.0,Southern Methodist,28.0,2015
"Oct 8, 2015",Washington,17.0,Southern California,12.0,2015
"Oct 9, 2015",Marshall,31.0,Southern Mississippi,10.0,2015
"Oct 9, 2015",Virginia Tech,28.0,North Carolina State,13.0,2015
"Oct 10, 2015",Air Force,31.0,Wyoming,17.0,2015
"Oct 10, 2015",Akron,47.0,Eastern Michigan,21.0,2015
"Oct 10, 2015",Alabama,27.0,Arkansas,14.0,2015
"Oct 10, 2015",Appalachian State,37.0,Georgia State,3.0,2015
"Oct 10, 2015",Arizona,44.0,Oregon State,7.0,2015
"Oct 10, 2015",Arizona State,48.0,Colorado,23.0,2015
"Oct 10, 2015",Baylor,66.0,Kansas,7.0,2015
"Oct 10, 2015",Boise State,41.0,Colorado State,10.0,2015
"Oct 10, 2015",Bowling Green,62.0,Massachusetts,38.0,2015
"Oct 10, 2015",Brigham Young,45.0,East Carolina,38.0,2015
"Oct 10, 2015",Clemson,43.0,Georgia Tech,24.0,2015
"Oct 10, 2015",Connecticut,40.0,Central Florida,13.0,2015
"Oct 10, 2015",Duke,44.0,Army,3.0,2015
"Oct 10, 2015",Florida,21.0,Missouri,3.0,2015
"Oct 10, 2015",Florida International,52.0,Texas-El Paso,12.0,2015
"Oct 10, 2015",Florida State,29.0,Miami (FL),24.0,2015
"Oct 10, 2015",Iowa,29.0,Illinois,20.0,2015
"Oct 10, 2015",Louisiana,49.0,Texas State,27.0,2015
"Oct 10, 2015",Louisiana State,45.0,South Carolina,24.0,2015
"Oct 10, 2015",Louisiana Tech,34.0,Texas-San Antonio,31.0,2015
"Oct 10, 2015",Michigan,38.0,Northwestern,0.0,2015
"Oct 10, 2015",Michigan State,31.0,Rutgers,24.0,2015
"Oct 10, 2015",Minnesota,41.0,Purdue,13.0,2015
"Oct 10, 2015",Mississippi,52.0,New Mexico State,3.0,2015
"Oct 10, 2015",Mississippi State,45.0,Troy,17.0,2015
"Oct 10, 2015",Nevada,35.0,New Mexico,17.0,2015
"Oct 10, 2015",Northern Illinois,59.0,Ball State,41.0,2015
"Oct 10, 2015",Notre Dame,41.0,Navy,24.0,2015
"Oct 10, 2015",Ohio,34.0,Miami (OH),3.0,2015
"Oct 10, 2015",Ohio State,49.0,Maryland,28.0,2015
"Oct 10, 2015",Oklahoma State,33.0,West Virginia,26.0,2015
"Oct 10, 2015",Penn State,29.0,Indiana,7.0,2015
"Oct 10, 2015",Pittsburgh,26.0,Virginia,19.0,2015
"Oct 10, 2015",Portland State,66.0,North Texas,7.0,2015
"Oct 10, 2015",Rice,27.0,Florida Atlantic,26.0,2015
"Oct 10, 2015",San Diego State,28.0,Hawaii,14.0,2015
"Oct 10, 2015",San Jose State,33.0,Nevada-Las Vegas,27.0,2015
"Oct 10, 2015",South Florida,45.0,Syracuse,24.0,2015
"Oct 10, 2015",Temple,49.0,Tulane,10.0,2015
"Oct 10, 2015",Tennessee,38.0,Georgia,31.0,2015
"Oct 10, 2015",Texas,24.0,Oklahoma,17.0,2015
"Oct 10, 2015",Texas Christian,52.0,Kansas State,45.0,2015
"Oct 10, 2015",Texas Tech,66.0,Iowa State,31.0,2015
"Oct 10, 2015",Toledo,38.0,Kent State,7.0,2015
"Oct 10, 2015",Tulsa,34.0,Louisiana-Monroe,24.0,2015
"Oct 10, 2015",Utah,30.0,California,24.0,2015
"Oct 10, 2015",Utah State,56.0,Fresno State,14.0,2015
"Oct 10, 2015",Wake Forest,3.0,Boston College,0.0,2015
"Oct 10, 2015",Washington State,45.0,Oregon,38.0,2015
"Oct 10, 2015",Western Kentucky,58.0,Middle Tennessee State,28.0,2015
"Oct 10, 2015",Western Michigan,41.0,Central Michigan,39.0,2015
"Oct 10, 2015",Wisconsin,23.0,Nebraska,21.0,2015
"Oct 13, 2015",Arkansas State,49.0,South Alabama,31.0,2015
"Oct 15, 2015",Auburn,30.0,Kentucky,27.0,2015
"Oct 15, 2015",Stanford,56.0,UCLA,35.0,2015
