Year,LR_Baseline,LR_SelectKBest,LR_Forward,LR_Backward,SVR,LogisticRegression,LR_Diff_Baseline,LR_Diff_SelectKBest,LR_Diff_AlphaSelection
2016,0.6296296296296297,0.6296296296296297,0.6080246913580247,0.6388888888888888,0.5871913580246914,0.6697530864197531,0.6589506172839507,0.6589506172839507,0.6635802469135802
2017,0.5816485225505443,0.5816485225505443,0.5707620528771384,0.6049766718506998,0.5987558320373251,0.6127527216174183,0.6065318818040435,0.6065318818040435,0.6034214618973561
2018,0.6350931677018633,0.6350931677018633,0.6319875776397516,0.6273291925465838,0.6040372670807453,0.6645962732919255,0.6614906832298136,0.6614906832298136,0.6708074534161491
2019,0.6122137404580152,0.6122137404580152,0.5923664122137404,0.6045801526717557,0.6236641221374046,0.6473282442748092,0.6549618320610687,0.6549618320610687,0.650381679389313
2020,0.6145124716553289,0.6145124716553289,0.5850340136054422,0.5941043083900227,0.5759637188208617,0.6643990929705216,0.6643990929705216,0.6643990929705216,0.6530612244897959
2021,0.631578947368421,0.631578947368421,0.620414673046252,0.6347687400318979,0.6196172248803827,0.6156299840510366,0.6156299840510366,0.6156299840510366,0.6220095693779905
2022,0.6356466876971609,0.6356466876971609,0.61198738170347,0.5914826498422713,0.582018927444795,0.6309148264984227,0.6246056782334385,0.6246056782334385,0.6182965299684543
2023,0.6257763975155279,0.6257763975155279,0.6040372670807453,0.6211180124223602,0.6063664596273292,0.6583850931677019,0.6645962732919255,0.6645962732919255,0.6490683229813664
